date,price
2024-12-28 01:43:24.358624,2.9231130633993585
2024-12-29 01:43:24.358624,2.3893783803153705
2024-12-30 01:43:24.358624,2.8672046423264774
2024-12-31 01:43:24.358624,2.8775121659900376
2025-01-01 01:43:24.358624,1.7894628154069494
2025-01-02 01:43:24.358624,1.8016787096595854
2025-01-03 01:43:24.358624,2.199005458921669
2025-01-04 01:43:24.358624,1.4965770722282319
2025-01-05 01:43:24.358624,0.9229193183019895
2025-01-06 01:43:24.358624,1.0764340278132294
2025-01-07 01:43:24.358624,0.11380857329381833
2025-01-08 01:43:24.358624,1.719352196750143
2025-01-09 01:43:24.358624,2.0065035766598167
2025-01-10 01:43:24.358624,0.8205211908523273
2025-01-11 01:43:24.358624,0.01
2025-01-12 01:43:24.358624,0.01
2025-01-13 01:43:24.358624,0.01
2025-01-14 01:43:24.358624,0.01
2025-01-15 01:43:24.358624,0.01
2025-01-16 01:43:24.358624,0.01
2025-01-17 01:43:24.358624,0.01
2025-01-18 01:43:24.358624,0.01
2025-01-19 01:43:24.358624,0.01
2025-01-20 01:43:24.358624,0.01
2025-01-21 01:43:24.358624,0.01
2025-01-22 01:43:24.358624,0.01
2025-01-23 01:43:24.358624,0.01
2025-01-24 01:43:24.358624,0.01
2025-01-25 01:43:24.358624,0.8406704127601217
2025-01-26 01:43:24.358624,0.01
2025-01-27 01:43:24.358624,0.01
2025-01-28 01:43:24.358624,0.01
2025-01-29 01:43:24.358624,1.3980758021323836
2025-01-30 01:43:24.358624,0.9176734316488553
2025-01-31 01:43:24.358624,0.8005890566379497
2025-02-01 01:43:24.358624,0.2834440216697609
2025-02-02 01:43:24.358624,0.6615645289163175
2025-02-03 01:43:24.358624,0.01
2025-02-04 01:43:24.358624,0.01
2025-02-05 01:43:24.358624,0.01
2025-02-06 01:43:24.358624,0.13000652527041545
2025-02-07 01:43:24.358624,0.01
2025-02-08 01:43:24.358624,0.01
2025-02-09 01:43:24.358624,0.01
2025-02-10 01:43:24.358624,0.01
2025-02-11 01:43:24.358624,0.01
2025-02-12 01:43:24.358624,0.01
2025-02-13 01:43:24.358624,0.01
2025-02-14 01:43:24.358624,0.01
2025-02-15 01:43:24.358624,0.01
2025-02-16 01:43:24.358624,0.01
2025-02-17 01:43:24.358624,0.01
2025-02-18 01:43:24.358624,0.01
